user_id,phone_hash,created_at,age,gender,occupation,income_bracket,city,state,movement_entropy,transaction_entropy,social_entropy,temporal_entropy,credit_risk_score,default_probability,cascade_risk_score,ghost_defaulter_probability,default_status,risk_category,behavioral_fingerprint,composite_stability_score
USR00001,2fbfbe1a45b808562c8b3830d18f9e81e379b2c40adf8c1c1bb345c756db5fef,2024-08-09 11:04:24,24,M,"Psychotherapist, child",high,Hyderabad,Goa,0.3758376527373761,0.25686786542742984,0.2957428417212796,0.2681411865120584,752,0.0547,0.8723981145106359,0.04534697466901616,active,low,"{'movement_signature': [0.1141, 0.0653, 0.4917, 0.577, 0.6865, 0.1517, 0.8111, 0.9491, 0.0852, 0.2482], 'transaction_signature': [0.5581, 0.4162, 0.5961, 0.6184, 0.7757, 0.3804, 0.9085, 0.2974, 0.5885, 0.4288], 'temporal_signature': [0.5686, 0.0602, 0.9601, 0.0992, 0.7627, 0.6255, 0.2646], 'social_signature': [0.0812, 0.2399, 0.552, 0.1565, 0.4085]}",0.303
USR00002,b9c878bd806661b3143f7bcd9e495a5ad0316f557a5ead5f19db143eb61848ef,2023-10-01 17:02:17,36,O,Arboriculturist,medium,Ahmedabad,Gujarat,0.4364314668781068,0.41423595203069585,0.4466847612320051,0.45291092513177994,537,0.1565,0.7329981960359693,0.09257054248873609,active,medium-high,"{'movement_signature': [0.1978, 0.1148, 0.2248, 0.149, 0.2656, 0.1422, 0.0596, 0.7926, 0.595, 0.8242], 'transaction_signature': [0.9212, 0.4392, 0.4687, 0.3041, 0.4025, 0.2722, 0.54, 0.4378, 0.598, 0.8894], 'temporal_signature': [0.7345, 0.6037, 0.0259, 0.2289, 0.6743, 0.8605, 0.5871], 'social_signature': [0.0207, 0.7648, 0.8214, 0.5762, 0.7631]}",0.435
USR00003,7bfd7f08377447425d51045ade3d60102dfd1a2aeadadde13646ddfcafda03c0,2024-05-06 07:20:07,29,O,Special effects artist,medium,Ahmedabad,लक्षद्वीप,0.6248218363780302,0.5269569438908174,0.49834516043820265,0.41824848125876546,566,0.2803,0.37836884503572044,0.056663175113112876,active,medium-high,"{'movement_signature': [0.8577, 0.3298, 0.6937, 0.2882, 0.9452, 0.8136, 0.5501, 0.4548, 0.3145, 0.3233], 'transaction_signature': [0.9702, 0.4042, 0.5146, 0.9881, 0.6577, 0.5426, 0.4132, 0.1876, 0.3618, 0.7564], 'temporal_signature': [0.6254, 0.76, 0.2036, 0.5492, 0.9277, 0.4381, 0.6983], 'social_signature': [0.1214, 0.9731, 0.6089, 0.2393, 0.1584]}",0.529
USR00004,ea88a15960b46367cbee2e99cf51763a2cc87624af946995b58af77371b1cdf1,2025-05-18 20:24:05,25,F,"Scientist, biomedical",low,Mumbai,Manipur,0.4174101978367354,0.5295419377567517,0.4307942248856656,0.5865306119868209,570,0.2316,0.3334892482094288,0.10875762818961951,active,medium-high,"{'movement_signature': [0.4825, 0.4722, 0.4568, 0.1446, 0.1906, 0.5994, 0.7463, 0.1365, 0.0698, 0.7727], 'transaction_signature': [0.8544, 0.3399, 0.7877, 0.2672, 0.0026, 0.7261, 0.8375, 0.5799, 0.6599, 0.8653], 'temporal_signature': [0.4465, 0.4843, 0.3324, 0.7629, 0.3772, 0.9329, 0.8696], 'social_signature': [0.9808, 0.2388, 0.383, 0.856, 0.4108]}",0.488
USR00005,b423f7cb082ca76c76dc845e1a06a6c56305214b48a258abe1c53923c22b8008,2024-08-25 17:42:46,60,O,"Scientist, forensic",low,Ahmedabad,Manipur,0.4643693440841408,0.4990657299232847,0.40740392226911526,0.5004582300265932,690,0.1687,0.5721443434476536,0.13175804387071016,active,medium,"{'movement_signature': [0.4403, 0.526, 0.4569, 0.7224, 0.41, 0.6548, 0.1544, 0.4695, 0.9692, 0.3386], 'transaction_signature': [0.6927, 0.6498, 0.8518, 0.8523, 0.8593, 0.38, 0.3167, 0.7187, 0.7594, 0.8724], 'temporal_signature': [0.0359, 0.0684, 0.6312, 0.9209, 0.9974, 0.7468, 0.434], 'social_signature': [0.0984, 0.6337, 0.8726, 0.4437, 0.694]}",0.471
USR00006,b2f3544123330e72a7926fa49f4bddc74f744af2f45419fe5abc1f91ef2dca37,2025-08-17 04:53:07,40,F,Transport planner,medium,Mumbai,छत्तीसगढ,0.5668357684315021,0.6291139591398797,0.7062332636297519,0.7131856123831873,311,0.4622,0.7340155791047626,0.03379771086953363,defaulted,high,"{'movement_signature': [0.8708, 0.6197, 0.2408, 0.9128, 0.1431, 0.4611, 0.254, 0.2553, 0.0094, 0.8046], 'transaction_signature': [0.9012, 0.6776, 0.158, 0.4417, 0.3456, 0.5876, 0.6389, 0.4243, 0.2501, 0.8453], 'temporal_signature': [0.1992, 0.3847, 0.4832, 0.2372, 0.5719, 0.5748, 0.9927], 'social_signature': [0.2952, 0.9779, 0.6582, 0.2745, 0.5659]}",0.643
USR00007,82fda863cec837e4a9ed6b9f0916a2c34190c046e7780e672b58f8e6fa60dd17,2025-05-19 08:04:54,36,M,"Teacher, early years/pre",high,Mumbai,Odisha,0.4990181859571611,0.5603863915090576,0.4438009077856211,0.43802639785541764,716,0.1288,0.3005014400348929,0.1157808253238348,active,medium,"{'movement_signature': [0.6809, 0.1368, 0.0972, 0.6275, 0.0394, 0.7886, 0.0334, 0.3649, 0.1314, 0.9096], 'transaction_signature': [0.3267, 0.4155, 0.2008, 0.7865, 0.8765, 0.3659, 0.5018, 0.2725, 0.1645, 0.914], 'temporal_signature': [0.9442, 0.9674, 0.2951, 0.8704, 0.8042, 0.4683, 0.0753], 'social_signature': [0.7542, 0.2256, 0.6763, 0.6744, 0.3974]}",0.494
USR00008,28ededfcdda06282586fbf569f982d8fc7b6a118e07fca907a27648279e90c26,2024-12-17 21:36:44,52,M,Geophysicist/field seismologist,medium,Pune,Odisha,0.35417559653027036,0.4737171317232078,0.5498023207073521,0.4524322816499473,511,0.3081,0.4048203994179803,0.09939689749211715,active,medium-high,"{'movement_signature': [0.6748, 0.4715, 0.6195, 0.9432, 0.328, 0.6101, 0.6477, 0.6354, 0.4643, 0.7011], 'transaction_signature': [0.6492, 0.1167, 0.0453, 0.0372, 0.9959, 0.1161, 0.2348, 0.5375, 0.3886, 0.371], 'temporal_signature': [0.9494, 0.6965, 0.5402, 0.5873, 0.7266, 0.8854, 0.6549], 'social_signature': [0.8337, 0.6157, 0.9391, 0.2797, 0.6903]}",0.449
USR00009,50534864ed9087f9f8013c08745919dd5542419be06cd209df0b1dbe7926bb01,2024-07-19 18:08:34,24,O,Sports therapist,medium,Ahmedabad,उडीसा,0.6066350579917864,0.5088931722964289,0.5955685058904093,0.4717347682424636,656,0.1736,0.4185117141954985,0.036573198702551137,defaulted,medium,"{'movement_signature': [0.848, 0.4547, 0.6628, 0.6417, 0.5971, 0.0214, 0.7868, 0.2436, 0.1259, 0.5646], 'transaction_signature': [0.0686, 0.7652, 0.2072, 0.216, 0.8697, 0.3286, 0.1476, 0.9005, 0.0028, 0.8584], 'temporal_signature': [0.1447, 0.13, 0.2507, 0.1745, 0.6611, 0.0258, 0.0149], 'social_signature': [0.79, 0.2379, 0.3238, 0.1742, 0.0524]}",0.548
USR00010,dfca8303af652ad9ad25a7bf15f813039f174e04c3c3c57888ed1a091ab78112,2024-11-05 21:46:13,41,O,Air cabin crew,high,Kolkata,Mizoram,0.2928737896269751,0.22181080200076908,0.30076773795716427,0.3890831285940213,749,0.0622,0.13469202951933737,0.11965177943725312,active,low,"{'movement_signature': [0.5215, 0.458, 0.964, 0.0608, 0.479, 0.4016, 0.6861, 0.4903, 0.9097, 0.0735], 'transaction_signature': [0.0808, 0.6083, 0.0657, 0.275, 0.6331, 0.5484, 0.3252, 0.9946, 0.5306, 0.4537], 'temporal_signature': [0.6054, 0.0992, 0.7018, 0.8528, 0.6509, 0.769, 0.7208], 'social_signature': [0.215, 0.4516, 0.2285, 0.3389, 0.4535]}",0.292
